securityId,securityName,symbol,indexId,openPrice,highPrice,lowPrice,totalTradeQuantity,totalTradeValue,lastTradedPrice,percentageChange,lastUpdatedDateTime,lastTradedVolume,previousClose,averageTradedPrice
2907,Shiva Shree Hydropower Ltd,SSHL,58,204.9,205.0,204.9,1610,329950.0,205.0,0.54,2024-09-25 11:10:10.683625,60,203.9,204.94
418,Jyoti Bikas Bank Limited,JBBL,58,331.3,331.3,325.0,1353,441607.0,325.0,0.03,2024-09-25 11:10:10.569481,10,324.9,326.39
9179,Modi Energy Limited,MEL,58,278.0,287.0,278.0,470,133497.0,287.0,1.41,2024-09-25 11:10:10.230423,10,283.0,284.04
307,Nepal Doorsanchar Company Limited,NTC,58,901.0,920.0,900.0,365,329822.0,920.0,1.88,2024-09-25 11:10:10.041803,10,903.0,903.62
171,Sanima Bank Limited,SANIMA,58,320.1,325.0,320.0,160,51901.0,325.0,1.53,2024-09-25 11:10:07.850017,130,320.1,324.38
2913,Mountain Energy Nepal Limited,MEN,58,609.0,609.0,609.0,100,60900.0,609.0,0.0,2024-09-25 11:10:07.542946,100,609.0,609.0
9234,Himalayan Reinsurance Limited,HRL,58,774.7,774.7,763.0,1910,1461401.0,765.0,0.28,2024-09-25 11:10:07.358282,205,762.9,765.13
210,Citizen Investment Trust,CIT,58,2110.0,2110.0,2110.0,226,476860.0,2110.0,-0.09,2024-09-25 11:10:07.145526,100,2112.0,2110.0
8021,Sahas Urja Limited,SAHAS,58,520.0,520.0,504.7,3754,1899337.5,504.7,-2.0,2024-09-25 11:10:03.552539,165,515.0,505.95
2754,Dibyashwori Hydropower Ltd.,DHPL,58,233.0,233.0,233.0,10,2330.0,233.0,1.75,2024-09-25 11:10:02.463845,10,229.0,233.0
591,Sanima Mai Hydropower Ltd.,SHPC,58,492.0,492.0,486.0,1222,598244.0,486.0,0.75,2024-09-25 11:10:00.438157,100,482.4,489.56
152,National Hydro Power Company Limited,NHPC,58,205.0,207.0,205.0,1870,385862.0,207.0,1.72,2024-09-25 11:09:58.813722,472,203.5,206.34
697,Api Power Company Ltd.,API,58,301.0,306.0,301.0,11252,3421528.9,303.0,0.66,2024-09-25 11:09:58.778473,206,301.0,304.08
2748,RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC,58,678.3,678.3,664.8,242,163861.0,678.0,1.95,2024-09-25 11:09:57.492797,17,665.0,677.11
587,Reliance Finance Ltd.,RLFL,58,505.0,512.9,503.0,1715,867383.5,512.9,0.37,2024-09-25 11:09:55.832149,65,511.0,505.76
245,Central Finance Co. Ltd.,CFCL,58,495.1,509.0,495.1,510,252800.0,509.0,1.98,2024-09-25 11:09:54.793241,10,499.1,495.69
9216,Sonapur Minerals And Oil Limited,SONA,58,434.9,434.9,433.0,1000,433653.0,433.1,-0.41,2024-09-25 11:09:53.899352,10,434.9,433.65
9201,Sun Nepal Life Insurance Company Limited,SNLI,58,540.9,544.0,540.9,96,52078.8,541.0,0.0,2024-09-25 11:09:53.342267,12,541.0,542.49
134,Himalayan Bank Limited,HBL,58,242.0,242.0,238.2,124,29580.4,238.6,-1.4,2024-09-25 11:09:52.537292,14,242.0,238.55
132,Nepal Investment Mega Bank Limited,NIMB,58,219.0,222.0,219.0,3745,823776.5,222.0,2.78,2024-09-25 11:09:51.370435,100,216.0,219.97
2788,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,58,194.0,195.0,194.0,670,130380.0,195.0,0.05,2024-09-25 11:09:50.544352,200,194.9,194.6
2743,Ngadi Group Power Ltd.,NGPL,58,431.4,431.4,425.0,583,248509.0,427.0,0.95,2024-09-25 11:09:49.223907,200,423.0,426.26
9183,Nepal Republic Media Limited,NRM,58,404.0,420.0,404.0,540,224610.0,411.0,-0.22,2024-09-25 11:09:47.39506,10,411.9,415.94
474,Muktinath Bikas Bank Ltd.,MNBBL,58,375.0,375.0,373.0,230,86081.0,373.0,-0.27,2024-09-25 11:09:47.1963,29,374.0,374.27
9148,Super Mai Hydropower Limited,SMH,58,1100.0,1142.0,1100.0,140,156760.0,1119.2,1.84,2024-09-25 11:09:47.098999,80,1099.0,1119.71
8005,Mailung Khola Jal Vidhyut Company Limited,MKJC,58,430.0,435.0,430.0,380,165250.0,435.0,1.56,2024-09-25 11:09:47.094772,370,428.3,434.87
8045,Green Ventures Limited,GVL,58,560.0,560.0,560.0,10,5600.0,560.0,-1.93,2024-09-25 11:09:46.638502,10,571.0,560.0
9199,Reliable Nepal Life Insurance Limited,RNLI,58,467.1,470.0,467.1,42,19682.0,470.0,-0.04,2024-09-25 11:09:46.019243,11,470.2,468.62
610,Ridi Power Company Limited,RIDI,58,218.0,218.0,218.0,323,70414.0,218.0,0.46,2024-09-25 11:09:43.293355,10,217.0,218.0
2915,Prabhu Mahalaxmi Life Insurance Limited,PMLI,58,566.0,566.0,566.0,10,5660.0,566.0,0.18,2024-09-25 11:09:42.756116,10,565.0,566.0
472,Shangrila Development Bank Ltd.,SADBL,58,392.0,414.0,392.0,730,288228.0,405.8,3.52,2024-09-25 11:09:38.654452,10,392.0,394.83
403,SuryaJyoti Life Insurance Company Limited,SJLIC,58,451.0,454.0,451.0,170,76850.0,454.0,0.11,2024-09-25 11:09:38.621484,50,453.5,452.06
2767,Himalayan Power Partner Ltd.,HPPL,58,301.9,301.9,298.1,510,152069.0,298.1,0.71,2024-09-25 11:09:37.678068,485,296.0,298.17
2792,Upper Tamakoshi Hydropower Ltd,UPPER,58,205.1,207.0,205.0,4414,908958.2,207.0,0.93,2024-09-25 11:09:37.225058,50,205.1,205.93
139,NIC Asia Bank Ltd.,NICA,58,427.0,437.5,427.0,1874,815075.5,437.5,1.7,2024-09-25 11:09:33.622547,103,430.2,434.94
8065,CYC Nepal Laghubitta Bittiya Sanstha Limited,CYCL,58,1518.1,1518.1,1488.1,73,110105.0,1500.0,-3.16,2024-09-25 11:09:32.298793,23,1549.0,1508.29
263,Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,58,484.0,502.0,483.2,800,388222.0,502.0,1.83,2024-09-25 11:09:30.267071,10,493.0,485.28
2774,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,USLB,58,1360.0,1377.0,1351.0,55,75220.0,1351.0,0.07,2024-09-25 11:09:28.878183,10,1350.0,1367.64
8133,Peoples Hydropower Company Limited,PHCL,58,320.0,320.0,311.2,460,143873.0,311.3,-1.83,2024-09-25 11:09:28.78755,10,317.1,312.77
176,Nepal Insurance Co. Ltd.,NICL,58,965.0,965.0,965.0,490,472850.0,965.0,0.52,2024-09-25 11:09:28.670476,350,960.0,965.0
2898,NRN Infrastructure and Development Limited,NRN,58,919.8,919.8,919.8,10,9198.0,919.8,1.52,2024-09-25 11:09:26.793705,10,906.0,919.8
227,Best Finance Company Ltd.,BFC,58,494.0,494.0,484.2,760,368978.0,484.2,-0.21,2024-09-25 11:09:26.431864,200,485.2,485.5
2934,Singati Hydro Energy Limited,SHEL,58,230.0,233.0,229.4,11546,2674103.0,230.0,-1.71,2024-09-25 11:09:25.949353,266,234.0,231.6
2860,Saptakoshi Development Bank Ltd,SAPDBL,58,483.4,483.4,477.0,62,29638.0,477.0,0.63,2024-09-25 11:09:24.557054,52,474.0,478.03
9217,Mathillo Mailun Khola Jalvidhyut Limited,MMKJL,58,455.0,455.0,455.0,10,4550.0,455.0,-1.3,2024-09-25 11:09:23.842119,10,461.0,455.0
686,Barun Hydropower Co. Ltd.,BARUN,58,325.0,325.0,320.0,650,210250.0,320.0,-0.28,2024-09-25 11:09:22.230387,200,320.9,323.46
8075,Bindhyabasini Hydropower Development Company Limited,BHDC,58,550.0,550.0,550.0,500,275000.0,550.0,1.83,2024-09-25 11:09:21.278553,490,540.1,550.0
2786,Panchakanya Mai Hydropower Ltd,PMHPL,58,244.9,244.9,244.9,100,24490.0,244.9,-1.96,2024-09-25 11:09:21.044346,90,249.8,244.9
695,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,JSLBB,58,1461.0,1579.0,1461.0,255,381659.0,1494.3,0.49,2024-09-25 11:09:20.759789,20,1487.0,1496.7
142,Kumari Bank Limited,KBL,58,210.0,211.1,205.1,13649,2860229.1,211.1,2.53,2024-09-25 11:09:20.200908,709,205.9,209.56
473,Shine Resunga Development Bank Ltd.,SHINE,58,442.6,442.6,437.0,2187,961145.0,440.0,1.38,2024-09-25 11:09:19.26482,500,434.0,439.48
140,Machhapuchhre Bank Limited,MBL,58,233.0,233.0,229.0,30,6949.0,232.9,0.78,2024-09-25 11:09:18.605724,10,231.1,231.63
357,Prime Commercial Bank Ltd.,PCBL,58,266.0,270.0,265.0,1506,399444.2,265.3,-1.01,2024-09-25 11:09:16.262998,50,268.0,265.24
238,NMB Bank Limited,NMB,58,243.2,246.0,241.2,140,33916.0,242.0,-0.49,2024-09-25 11:09:11.18442,50,243.2,242.26
9184,IME Life Insurance Company Limited,ILI,58,457.0,464.0,456.1,1233,563918.9,461.0,-0.43,2024-09-25 11:09:10.920998,50,463.0,457.36
273,ICFC Finance Limited,ICFC,58,640.0,640.0,637.0,200,127700.0,637.0,0.02,2024-09-25 11:09:09.170368,100,636.9,638.5
471,Multipurpose Finance Company  Limited,MPFL,58,575.0,579.0,573.3,1201,689795.3,579.0,-1.03,2024-09-25 11:09:07.622408,10,585.0,574.35
9156,Sanima Middle Tamor Hydropower Limited,TAMOR,58,439.2,441.0,439.2,3020,1326412.0,441.0,-1.58,2024-09-25 11:09:07.544859,10,448.1,439.21
9161,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,58,4900.2,5400.0,4804.1,170,860573.0,4908.0,-1.84,2024-09-25 11:09:04.415771,20,5000.2,5062.19
9171,Bhugol Energy Development Company Limited,BEDC,58,453.0,471.2,453.0,60,27460.0,455.6,-1.39,2024-09-25 11:09:02.493641,10,462.0,457.67
